dimension,category,coverage_status,evidence_level,coverage_basis,known_limitation,source_artifacts,source_claim_ids,downstream_relevance
layout_and_structure,two_column_layout,PRESENT,CANDIDATE_PROXY,Observed in 184 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,Heuristic candidate detection of two-column layout bounding boxes.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C007,ROBUSTNESS
layout_and_structure,multi_column_layout,PRESENT,CANDIDATE_PROXY,Observed in 191 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,Heuristic candidate detection of 3+ column layout bounding boxes.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C009,ROBUSTNESS
layout_and_structure,table_candidate,PRESENT,CANDIDATE_PROXY,Observed in 190 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,Heuristic signal based on vector grids and aligned numeric lines; true table topology is unverified.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C011,ROBUSTNESS
layout_and_structure,running_furniture_candidate,PRESENT,CANDIDATE_PROXY,Observed in 125 documents across 34 issuers; no frozen source explicitly characterizes representation as sparse.,Repetitive running header or footer coordinate detections across consecutive pages under repetition heuristic.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C013;CLAIM:C015,ROBUSTNESS
layout_and_structure,combined_mdna_candidate,PRESENT,CANDIDATE_PROXY,Observed in 44 documents across 22 issuers; no frozen source explicitly characterizes representation as sparse.,Outline/heading candidate detection where MD&A is compounded with Directors' Report or Corporate Governance.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C037,ROBUSTNESS
layout_and_structure,annexure_candidate,PRESENT,CANDIDATE_PROXY,Observed in 188 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,Keyword regex match for 'annexure' in document outline or heading; does not confirm MD&A itself is an annexure.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C018,ROBUSTNESS
layout_and_structure,toc_candidate,PRESENT,CANDIDATE_PROXY,Observed in 174 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,Printed keyword candidate detection within the first 30 pages of the document.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C017,ROBUSTNESS
layout_and_structure,no_toc_keyword_candidate,PRESENT,CANDIDATE_PROXY,Observed in 20 documents across 14 issuers; no frozen source explicitly characterizes representation as sparse.,Document yielded no printed TOC keyword candidate under search rule; does not prove complete absence of TOC across document.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C036,ROBUSTNESS
coverage_intersections,scanned_with_multi_column,PRESENT,DERIVED_INTERACTION,Observed in 61 documents across 29 issuers; no frozen source explicitly characterizes representation as sparse.,Derived document-level intersection of scanned pages and multi-column candidate pages.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/interaction_gap_matrix_reconciled.csv,CLAIM:C009;CLAIM:C048,ROBUSTNESS
coverage_intersections,scanned_with_table_candidate,PRESENT,DERIVED_INTERACTION,Observed in 60 documents across 28 issuers; no frozen source explicitly characterizes representation as sparse.,Derived document-level intersection of scanned pages and tabular candidate pages.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C011,ROBUSTNESS
evidence_limitations,ocr_transcription_quality,NOT_ASSESSABLE,UNMEASURED,Property is unmeasured in frozen artifacts; requires future pre-registered benchmark.,Character error rate (CER) and word error rate (WER) on OCR text layers are not measured in frozen artifacts.,dataset/corpus_gap_audit/reconciled/gap_audit_report_reconciled.md;dataset/corpus_gap_audit/t0_2_robustness_gate/t0_2_robustness_gate.csv,CLAIM:C020;CLAIM:C057,NOT_ASSESSABLE
evidence_limitations,scanned_heading_localization_error,NOT_ASSESSABLE,UNMEASURED,Property is unmeasured in frozen artifacts; requires future pre-registered benchmark.,MD&A heading boundary localization accuracy and error rate on scanned raster pages are not measured in frozen artifacts.,dataset/corpus_gap_audit/t0_2_robustness_gate/t0_2_robustness_gate.csv,CLAIM:C057,NOT_ASSESSABLE
