claim_id,claim_anchor,claim_type,report_section,original_claim,reported_value,reported_unit,canonical_value,canonical_unit,source_artifact,source_field,source_row_identifier,source_calculation_id,source_calculation,evidence_location,source_claim_ids,decision_rule_id,decision_basis,review_expectation_value,review_expectation_status,status,corrected_claim,reason
CLAIM:C011,section_02.q05_table_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Table candidates: 190 documents (36 issuers, 29,476 pages)",190,documents,190,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=table_candidate,CALC_COUNT_DOCS_TABLE_CANDIDATE,"lookup(condition == 'table_candidate', document_count)",gap_summary.csv condition == table_candidate,,,,190,MATCH,CANDIDATE_ONLY,"Table-like vector or numeric-line signals occur in 190 documents (36 issuers, 29,476 pages); true table prevalence is unverified",Candidate signals only; true table topology is unverified by existing detectors
CLAIM:C012,section_02.q05_table_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Table candidate pages: 29,476 pages",29476,pages,29476,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=table_candidate,CALC_SUM_TABLE_CANDIDATE_PAGES,"lookup(condition == 'table_candidate', page_count)",gap_summary.csv condition == table_candidate,,,,29476,MATCH,CANDIDATE_ONLY,"Table candidate pages: 29,476 pages satisfy heuristic vector grid or numeric row criteria",Directly confirmed from gap_summary.csv as candidate heuristic count
CLAIM:C013,section_02.q05_header_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Running header candidates: 84 documents (32 issuers, 6,980 pages)",84,documents,84,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=header_candidate,CALC_COUNT_DOCS_HEADER_CANDIDATE,"lookup(condition == 'header_candidate', document_count)",gap_summary.csv condition == header_candidate,,,,84,MATCH,SUPPORTED_WITH_QUALIFICATION,"Running header candidates were detected in 84 documents (~43.3% of corpus, 32 issuers, 6,980 pages) under repetition heuristic",Counts confirmed; narrative claim of 'universal' header presence is refuted (present in ~43% of docs)
CLAIM:C014,section_02.q05_header_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Running header candidate pages: 6,980 pages",6980,pages,6980,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=header_candidate,CALC_SUM_HEADER_CANDIDATE_PAGES,"lookup(condition == 'header_candidate', page_count)",gap_summary.csv condition == header_candidate,,,,6980,MATCH,SUPPORTED,"Running header candidate pages: 6,980 pages",Directly confirmed from gap_summary.csv
CLAIM:C015,section_02.q05_footer_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Running footer candidates: 90 documents (28 issuers, 8,902 pages)",90,documents,90,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=footer_candidate,CALC_COUNT_DOCS_FOOTER_CANDIDATE,"lookup(condition == 'footer_candidate', document_count)",gap_summary.csv condition == footer_candidate,,,,90,MATCH,SUPPORTED_WITH_QUALIFICATION,"Running footer candidates were detected in 90 documents (~46.4% of corpus, 28 issuers, 8,902 pages) under repetition heuristic",Counts confirmed; narrative claim of 'universal' footer presence is refuted (present in ~46% of docs)
CLAIM:C016,section_02.q05_footer_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Running footer candidate pages: 8,902 pages",8902,pages,8902,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=footer_candidate,CALC_SUM_FOOTER_CANDIDATE_PAGES,"lookup(condition == 'footer_candidate', page_count)",gap_summary.csv condition == footer_candidate,,,,8902,MATCH,SUPPORTED,"Running footer candidate pages: 8,902 pages",Directly confirmed from gap_summary.csv
CLAIM:C017,section_02.q05_toc_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"TOC candidate presence: 174 documents (36 issuers, 174 pages)",174,documents,174,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=toc_candidate,CALC_COUNT_DOCS_TOC_CANDIDATE,"lookup(condition == 'toc_candidate', document_count)",gap_summary.csv condition == toc_candidate,,,,174,MATCH,CANDIDATE_ONLY,TOC printed keyword candidates detected in 174 documents (36 issuers); 20 documents yielded no keyword match under search rule,Reflects printed keyword matches in first 30 pages; PDF outline bookmarks exist in 90 documents
CLAIM:C018,section_02.q05_annexure_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Annexure candidates: 188 documents (36 issuers, 188 pages)",188,documents,188,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=annexure_candidate,CALC_COUNT_DOCS_ANNEXURE_CANDIDATE,"lookup(condition == 'annexure_candidate', document_count)",gap_summary.csv condition == annexure_candidate,,,,188,MATCH,CANDIDATE_ONLY,Word 'annexure' appears in 188 documents (36 issuers); structure of MD&A specifically as an annexure remains candidate/unverified,The detector confirms keyword appearance; does not prove MD&A is structured as an annexure
CLAIM:C019,section_02.q05_mixed_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Mixed document representation: 101 documents (32 issuers, 22,968 pages)",132,documents,132,documents,dataset/corpus_gap_audit/gap_audit_document.csv,document_representation,document_representation=MIXED,CALC_COUNT_MIXED_REP_DOCS,count(document_representation == 'MIXED'),gap_audit_document.csv where document_representation == MIXED,,,,132,MATCH,OVERSTATED,"Mixed document representation comprises 132 documents (34 issuers, 30132 pages) in gap_audit_document.csv; figure 101 reflected an ungrounded filter",Canonical artifact gap_audit_document.csv records exactly 132 documents with document_representation == MIXED
CLAIM:C020,section_02.q05_ocr_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"OCR layer candidate presence: 98 documents (31 issuers, 189 pages)",98,documents,98,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=ocr_layer_candidate,CALC_COUNT_DOCS_WITH_OCR_PAGES,"lookup(condition == 'ocr_layer_candidate', document_count)",gap_summary.csv condition == ocr_layer_candidate,,,,98,MATCH,CANDIDATE_ONLY,"OCR layer candidate signals detected on >=1 page in 98 documents (31 issuers, 189 total pages) under render mode 3 heuristic",Heuristic proxy detection; does not confirm verified OCR quality across full documents
CLAIM:C021,section_02.q05_ocr_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q5),OCR layer candidate pages: 189 pages,189,pages,189,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=ocr_layer_candidate,CALC_SUM_OCR_PAGES,"lookup(condition == 'ocr_layer_candidate', page_count)",gap_summary.csv condition == ocr_layer_candidate,,,,189,MATCH,CANDIDATE_ONLY,OCR layer candidate pages: 189 pages,Directly confirmed from gap_summary.csv as candidate proxy count
CLAIM:C022,section_02.q06_devanagari_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q6),"Devanagari script: 2 documents (1 issuer, 2 pages)",2,documents,2,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=devanagari_candidate,CALC_COUNT_DOCS_DEVANAGARI_CANDIDATE,"lookup(condition == 'devanagari_candidate', document_count)",gap_summary.csv condition == devanagari_candidate,,,,2,MATCH,SUPPORTED_WITH_QUALIFICATION,"Devanagari script appears in 2 documents (1 issuer, 2 pages, exactly 116 characters on page 0 cover/letterhead of SJVN Limited)","Confirmed; qualified to reflect that Devanagari is restricted to cover letterhead, not report body"
CLAIM:C023,section_02.q06_devanagari_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q6),Devanagari script pages: 2 pages,2,pages,2,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=devanagari_candidate,CALC_SUM_DEVANAGARI_PAGES,"lookup(condition == 'devanagari_candidate', page_count)",gap_summary.csv condition == devanagari_candidate,,,,2,MATCH,SUPPORTED,Devanagari script pages: 2 pages,Directly confirmed from gap_summary.csv
CLAIM:C024,section_02.q06_devanagari_issuers,QUANTITATIVE,2. Answers to Core Research Questions (Q6),Devanagari script is confined to 1 single issuer,1,issuers,1,issuers,dataset/corpus_gap_audit/gap_summary.csv,issuer_count,condition=devanagari_candidate,CALC_COUNT_ISSUERS_DEVANAGARI,"lookup(condition == 'devanagari_candidate', issuer_count)",gap_summary.csv condition == devanagari_candidate,,,,1,MATCH,SUPPORTED,"Devanagari script is 100% concentrated in 1 single issuer (INE002L01015, SJVN Limited)",Directly confirmed from gap_summary.csv and language_candidates.csv
CLAIM:C025,section_02.q06_bilingual_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q6),"Bilingual candidate pages: 2 documents (1 issuer, 2 pages)",2,documents,2,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=bilingual_candidate,CALC_COUNT_DOCS_BILINGUAL_CANDIDATE,"lookup(condition == 'bilingual_candidate', document_count)",gap_summary.csv condition == bilingual_candidate,,,,2,MATCH,SUPPORTED_WITH_QUALIFICATION,"Bilingual candidate pages: 2 documents (1 issuer, 2 pages); reflects bilingual letterhead banner on cover page only",Confirmed; does not reflect bilingual prose or parallel report structure
CLAIM:C026,section_02.q06_bilingual_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q6),Bilingual candidate pages: 2 pages,2,pages,2,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=bilingual_candidate,CALC_SUM_BILINGUAL_PAGES,"lookup(condition == 'bilingual_candidate', page_count)",gap_summary.csv condition == bilingual_candidate,,,,2,MATCH,SUPPORTED,Bilingual candidate pages: 2 pages,Directly confirmed from gap_summary.csv
CLAIM:C027,section_02.q06_hidden_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q6),"Hidden text candidates: 3 documents (3 issuers, 4 pages)",3,documents,3,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=hidden_text_candidate,CALC_COUNT_DOCS_HIDDEN_TEXT,"lookup(condition == 'hidden_text_candidate', document_count)",gap_summary.csv condition == hidden_text_candidate,,,,3,MATCH,CANDIDATE_ONLY,"Sub-point font text candidates detected in 3 documents (3 issuers, 4 pages); intentional hidden text intent unproven",Reflects font size < 0.5 pt heuristic; intent is unproven
CLAIM:C028,section_02.q06_hidden_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q6),Hidden text candidate pages: 4 pages,4,pages,4,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=hidden_text_candidate,CALC_SUM_HIDDEN_TEXT_PAGES,"lookup(condition == 'hidden_text_candidate', page_count)",gap_summary.csv condition == hidden_text_candidate,,,,4,MATCH,CANDIDATE_ONLY,Sub-point font candidate pages: 4 pages,Directly confirmed from gap_summary.csv
CLAIM:C029,section_02.q06_scanned_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q6),"Fully scanned documents: 5 documents (5 issuers, 804 pages)",2,documents,2,documents,dataset/corpus_gap_audit/gap_audit_document.csv,document_representation,document_representation=SCANNED,CALC_COUNT_FULLY_SCANNED_DOCS,count(document_representation == 'SCANNED'),gap_audit_document.csv where document_representation == SCANNED,,,,2,MATCH,OVERSTATED,"Fully scanned documents comprise exactly 2 documents (2 issuers, 91 pages: INE002L01015_2012 [43 pgs], INE003B01014_2011 [48 pgs]); narrative claim of 5 docs / 804 pages was ungrounded","Canonical gap_audit_document.csv records exactly 2 SCANNED documents; Reliance INE002A01018_2018 is 447 native pages with 395 legacy font pages, not scanned"
CLAIM:C030,section_02.q14_legacy_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q14),"Legacy/broken font candidates: 56 documents across 24 issuers (1,007 pages)",56,documents,56,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=legacy_font_candidate,CALC_COUNT_DOCS_WITH_LEGACY_PAGES,"lookup(condition == 'legacy_font_candidate', document_count)",gap_summary.csv condition == legacy_font_candidate,,,,56,MATCH,CANDIDATE_ONLY,"Legacy font candidate signals detected in 56 documents (24 issuers, 1,007 pages) under U+FFFD and PUA codepoint proxy",Directly confirmed from gap_summary.csv as candidate heuristic count
CLAIM:C031,section_02.q14_legacy_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q14),"Legacy font candidate pages: 1,007 pages",1007,pages,1007,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=legacy_font_candidate,CALC_SUM_LEGACY_PAGES,"lookup(condition == 'legacy_font_candidate', page_count)",gap_summary.csv condition == legacy_font_candidate,,,,1007,MATCH,CANDIDATE_ONLY,"Legacy font candidate pages: 1,007 pages",Directly confirmed from gap_summary.csv
CLAIM:C032,section_02.q17_duptext_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q17),Duplicate text candidates: 35 documents across 18 issuers (68 pages),35,documents,35,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=duplicate_text_candidate,CALC_COUNT_DOCS_DUPTEXT,"lookup(condition == 'duplicate_text_candidate', document_count)",gap_summary.csv condition == duplicate_text_candidate,,,,35,MATCH,CANDIDATE_ONLY,"Bounding-box text overlap candidates (IoU >= 0.40): 35 documents across 18 issuers (68 pages); causes include header/footer repetition, drop-shadows, and overlay layers",Counts confirmed; narrative claim of OCR engine misaligned overlay mechanism was unproven
CLAIM:C033,section_02.q17_duptext_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q17),Duplicate text candidate pages: 68 pages,68,pages,68,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=duplicate_text_candidate,CALC_SUM_DUPTEXT_PAGES,"lookup(condition == 'duplicate_text_candidate', page_count)",gap_summary.csv condition == duplicate_text_candidate,,,,68,MATCH,CANDIDATE_ONLY,Bounding-box text overlap candidate pages: 68 pages,Directly confirmed from gap_summary.csv
CLAIM:C034,section_02.q21_toc_strong_offsets,QUANTITATIVE,2. Answers to Core Research Questions (Q21),24 documents yielded high-consistency candidate offsets supported by >= 3 matching body entries,2,documents,2,documents,dataset/corpus_gap_audit/toc_offset_candidates.csv,detector_status,detector_status=STRONG_CANDIDATE,CALC_COUNT_DOCS_STRONG_TOC_OFFSET,count(detector_status == 'STRONG_CANDIDATE'),toc_offset_candidates.csv where detector_status == STRONG_CANDIDATE,,,,2,MATCH,OVERSTATED,"Exactly 2 documents yielded strong candidate offsets supported by >= 3 matching entries (INE009A01021_2018 [5 matches], INE040A01034_2025 [6 matches]); 22 other documents had preliminary candidate offsets (often 1 match)",Narrative claimed 24 docs had >=3 matches; canonical artifact confirms only 2 docs met support >= 3
CLAIM:C035,section_02.q21_toc_unresolved,QUANTITATIVE,2. Answers to Core Research Questions (Q21),150 documents had candidate TOC pages but unresolved entry offsets,4,documents,4,documents,dataset/corpus_gap_audit/toc_offset_candidates.csv,detector_status,detector_status=UNRESOLVED,CALC_COUNT_DOCS_UNRESOLVED_TOC_OFFSET,count(detector_status == 'UNRESOLVED'),toc_offset_candidates.csv where detector_status == UNRESOLVED,,,,4,MATCH,OVERSTATED,"In toc_offset_candidates.csv, 4 assessed documents produced UNRESOLVED matcher status; 149 documents were unassessed by the offset matcher rather than diagnosed offset failures",Narrative report conflated unassessed documents with diagnosed failure cases
CLAIM:C036,section_02.q21_no_toc,QUANTITATIVE,2. Answers to Core Research Questions (Q21),20 documents showed no discernible TOC structure,20,documents,20,documents,dataset/corpus_gap_audit/gap_audit_document.csv,toc_candidate,toc_candidate=False,CALC_COUNT_DOCS_TOC_FALSE,count(toc_candidate == 'False'),gap_audit_document.csv where toc_candidate == False,,,,20,MATCH,SUPPORTED_WITH_QUALIFICATION,20 documents produced no T0.1 printed TOC-keyword candidate under the detector's search rule (not verified evidence of complete TOC absence),Search was restricted to first 30 pages; true absence across entire document unproven
CLAIM:C037,section_02.q23_combined_mdna_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q23),Combined-MD&A candidates: 44 documents across 22 issuers,44,documents,44,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=combined_mdna_candidate,CALC_COUNT_DOCS_COMBINED_MDNA_CANDIDATE,"lookup(condition == 'combined_mdna_candidate', document_count)",gap_summary.csv condition == combined_mdna_candidate,,,,44,MATCH,CANDIDATE_ONLY,Combined-MD&A outline/heading candidates detected in 44 documents (22 issuers) where MD&A is compounded with Directors' Report or Corporate Governance,Directly confirmed from gap_summary.csv and mdna_candidate_complexity.csv
CLAIM:C038,section_02.q24_page_min,QUANTITATIVE,2. Answers to Core Research Questions (Q24),Long-report distribution min: 32 pages,1,pages,1,pages,dataset/corpus_gap_audit/gap_audit_summary.json,corpus_inventory.page_count_distribution.min,page_count_distribution.min,CALC_MIN_PAGES,min(page_count),gap_audit_summary.json corpus_inventory.page_count_distribution.min,,,,1,MATCH,OVERSTATED,Minimum document page count is 1 page (including stub files INE00FF01025_2015 [1 pg] and INE00LO01017_2015 [2 pgs]); narrative claim of 32 pages ignored stubs,Canonical artifact records min=1; report author silently ignored stub documents
CLAIM:C039,section_02.q24_page_median,QUANTITATIVE,2. Answers to Core Research Questions (Q24),Median page count: 165.00 pages,165.0,pages,165.0,pages,dataset/corpus_gap_audit/gap_audit_summary.json,corpus_inventory.page_count_distribution.median,page_count_distribution.median,CALC_MEDIAN_PAGES,median(page_count),gap_audit_summary.json corpus_inventory.page_count_distribution.median,,,,165.0,MATCH,SUPPORTED,Median document page count: 165.0 pages,Directly confirmed from gap_audit_summary.json
CLAIM:C040,section_02.q24_page_mean,QUANTITATIVE,2. Answers to Core Research Questions (Q24),Mean page count: 195.45 pages,195.45,pages,195.45,pages,dataset/corpus_gap_audit/gap_audit_summary.json,corpus_inventory.page_count_distribution.mean,page_count_distribution.mean,CALC_MEAN_PAGES,mean(page_count),gap_audit_summary.json corpus_inventory.page_count_distribution.mean,,,,195.45,MATCH,SUPPORTED,Mean document page count: 195.45 pages,Directly confirmed from gap_audit_summary.json
CLAIM:C041,section_02.q24_page_q1,QUANTITATIVE,2. Answers to Core Research Questions (Q24),Q1 page count: 92.75 pages,92.75,pages,92.75,pages,dataset/corpus_gap_audit/gap_audit_summary.json,corpus_inventory.page_count_distribution.q1,page_count_distribution.q1,CALC_Q1_PAGES,"quantile(page_count, 0.25)",gap_audit_summary.json corpus_inventory.page_count_distribution.q1,,,,92.75,MATCH,SUPPORTED,Q1 (25th percentile) document page count: 92.75 pages,Directly confirmed from gap_audit_summary.json
CLAIM:C042,section_02.q24_page_q3,QUANTITATIVE,2. Answers to Core Research Questions (Q24),Q3 page count: 249.25 pages,249.25,pages,249.25,pages,dataset/corpus_gap_audit/gap_audit_summary.json,corpus_inventory.page_count_distribution.q3,page_count_distribution.q3,CALC_Q3_PAGES,"quantile(page_count, 0.75)",gap_audit_summary.json corpus_inventory.page_count_distribution.q3,,,,249.25,MATCH,SUPPORTED,Q3 (75th percentile) document page count: 249.25 pages,Directly confirmed from gap_audit_summary.json
CLAIM:C043,section_02.q24_page_p90,QUANTITATIVE,2. Answers to Core Research Questions (Q24),P90 page count: 332.80 pages,387.3,pages,387.3,pages,dataset/corpus_gap_audit/gap_audit_summary.json,corpus_inventory.page_count_distribution.p90,page_count_distribution.p90,CALC_P90_PAGES,"quantile(page_count, 0.90)",gap_audit_summary.json corpus_inventory.page_count_distribution.p90,,,,387.3,MATCH,OVERSTATED,P90 (90th percentile) document page count is 387.3 pages; narrative claim of 332.80 pages was ungrounded,Canonical gap_audit_summary.json records p90 = 387.3; report narrative had mismatched number
CLAIM:C044,section_02.q24_page_p95,QUANTITATIVE,2. Answers to Core Research Questions (Q24),P95 page count: 411.35 pages,460.35,pages,460.35,pages,dataset/corpus_gap_audit/gap_audit_summary.json,corpus_inventory.page_count_distribution.p95,page_count_distribution.p95,CALC_P95_PAGES,"quantile(page_count, 0.95)",gap_audit_summary.json corpus_inventory.page_count_distribution.p95,,,,460.35,MATCH,OVERSTATED,P95 (95th percentile) document page count is 460.35 pages; narrative claim of 411.35 pages was ungrounded,Canonical gap_audit_summary.json records p95 = 460.35; report narrative had mismatched number
CLAIM:C045,section_02.q24_page_max,QUANTITATIVE,2. Answers to Core Research Questions (Q24),Max document page count: 661 pages,661,pages,661,pages,dataset/corpus_gap_audit/gap_audit_summary.json,corpus_inventory.page_count_distribution.max,page_count_distribution.max,CALC_MAX_PAGES,max(page_count),gap_audit_summary.json corpus_inventory.page_count_distribution.max,,,,661,MATCH,SUPPORTED,Maximum document page count: 661 pages,Directly confirmed from gap_audit_summary.json
CLAIM:C046,section_02.q32_gt250_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q32),58 documents > 250 pages across 36 issuers,48,documents,48,documents,dataset/corpus_gap_audit/gap_audit_document.csv,total_pages,total_pages>250,CALC_DOCS_GT_250_PAGES,count(total_pages > 250),gap_audit_document.csv where total_pages > 250,,,,48,MATCH,OVERSTATED,Documents exceeding 250 pages number exactly 48 across 20 issuers; narrative claim of 58 docs / 36 issuers was internally inconsistent with report's own table (48 docs),Canonical gap_audit_document.csv confirms exactly 48 documents have total_pages > 250
CLAIM:C047,section_02.q25_twocol_table_inter,QUANTITATIVE,2. Answers to Core Research Questions (Q25),"Two-Column x Table Candidate: Observed in 184 documents (36 issuers, 37,278 pages)",184,documents,184,documents,dataset/corpus_gap_audit/interaction_gap_matrix.csv,document_count,condition_a=two_column;condition_b=table_candidate,CALC_INTERACTION_TWOCOL_TABLE_DOCS,"lookup(condition_a=='two_column' and condition_b=='table_candidate', document_count)",interaction_gap_matrix.csv row 5,,,,184,MATCH,SUPPORTED_WITH_QUALIFICATION,"Two-Column x Table Candidate occurs in 184 documents (36 issuers); 37,278 is total pages in docs meeting both conditions, not page-level intersection",Metric semantics clarified to reflect document-level aggregation
CLAIM:C048,section_02.q25_ocr_mixed_inter,QUANTITATIVE,2. Answers to Core Research Questions (Q25),"OCR Layer x Mixed Representation: Observed in 98 documents (31 issuers, 23,877 pages)",98,documents,98,documents,dataset/corpus_gap_audit/interaction_gap_matrix.csv,document_count,condition_a=ocr_layer_candidate;condition_b=scanned_or_mixed,CALC_INTERACTION_OCR_SCANNED_MIXED_DOCS,"lookup(condition_a=='ocr_layer_candidate' and condition_b=='scanned_or_mixed', document_count)",interaction_gap_matrix.csv row 1,,,,98,MATCH,SUPPORTED_WITH_QUALIFICATION,OCR Layer x Mixed Representation is observed in 98 documents; this intersection is tautological because MIXED representation is assigned whenever ocr_page_count > 0,Historical detector logic in tools/audit_corpus_gaps.py lines 909-910 defines MIXED if ocr_page_count > 0
CLAIM:C049,section_03.finding_01_table_dominance,QUALITATIVE,3. Findings That Change Design Assumptions (Finding 1),Tables constitute the primary physical layout of Indian annual reports and dominate document area,UNVERIFIED,status,UNVERIFIED,status,dataset/corpus_gap_audit/table_candidates.csv,detector_status,all_rows,CALC_TABLE_SEMANTIC_PREVALENCE,evaluate_semantic_verification_level,table_candidates.csv contains candidate detections only,CLAIM:C011;CLAIM:C012,,,UNVERIFIED,MATCH,OVERSTATED,Table-like vector or numeric-line signals occur on most pages and in most documents under the current heuristic; true semantic table prevalence is unverified,Original T0.1 detector only evaluated vector lines and aligned numbers; true table topology is unverified
