document_id,page_index,condition_class,text_snippet,detector_status,verification_status,notes
INE008A01015_2018,8,NEAR_TEXT_OVERLAP,Offering Customers the Digital Edge,CANDIDATE,NOT_REVIEWED,iou=0.7
INE008A01015_2024,4,HIDDEN_TEXT_CANDIDATE,crore,CANDIDATE,NOT_REVIEWED,font_size=0.10000000149011612
INE008A01015_2025,4,NEAR_TEXT_OVERLAP,H$amo‹S>,CANDIDATE,NOT_REVIEWED,iou=0.4
INE009A01021_2025,2,EXACT_TEXT_OVERLAP,Infosys Integrated Annual Report 2024-25,CANDIDATE,NOT_REVIEWED,iou=1.0
INE00E101023_2024,5,EXACT_TEXT_OVERLAP,PRESENCE,CANDIDATE,NOT_REVIEWED,iou=1.0
INE00WC01027_2024,5,EXACT_TEXT_OVERLAP,Affle (India) Limited,CANDIDATE,NOT_REVIEWED,iou=0.97
INE044A01036_2017,3,NEAR_TEXT_OVERLAP,00-00,CANDIDATE,NOT_REVIEWED,iou=1.0
INE044A01036_2017,5,NEAR_TEXT_OVERLAP,00-00,CANDIDATE,NOT_REVIEWED,iou=1.0
INE044A01036_2017,7,NEAR_TEXT_OVERLAP,00-00,CANDIDATE,NOT_REVIEWED,iou=1.0
INE044A01036_2017,9,NEAR_TEXT_OVERLAP,00-00,CANDIDATE,NOT_REVIEWED,iou=1.0
INE081A01020_2012,30,EXACT_TEXT_OVERLAP,Annual Report 2011-12,CANDIDATE,NOT_REVIEWED,iou=1.0
INE081A01020_2013,19,NEAR_TEXT_OVERLAP,"""H"" BF Actual Production",CANDIDATE,NOT_REVIEWED,iou=0.97
INE081A01020_2017,24,EXACT_TEXT_OVERLAP,Customers,CANDIDATE,NOT_REVIEWED,iou=0.97
INE081A01020_2024,5,EXACT_TEXT_OVERLAP,Shaping a,CANDIDATE,NOT_REVIEWED,iou=1.0
INE081A01020_2024,6,EXACT_TEXT_OVERLAP,Tata Steel,CANDIDATE,NOT_REVIEWED,iou=1.0
INE081A01020_2024,10,EXACT_TEXT_OVERLAP,Cultivating,CANDIDATE,NOT_REVIEWED,iou=1.0
INE081A01020_2024,19,EXACT_TEXT_OVERLAP,Towards a,CANDIDATE,NOT_REVIEWED,iou=1.0
INE081A01020_2025,4,EXACT_TEXT_OVERLAP,Year  |  Integrated Report & Annual Accounts 2024-25,CANDIDATE,NOT_REVIEWED,iou=1.0
INE154A01025_2024,28,EXACT_TEXT_OVERLAP,"ITC Grand Chola, Chennai",CANDIDATE,NOT_REVIEWED,iou=1.0
INE171A01029_2017,3,EXACT_TEXT_OVERLAP,Annual Report,CANDIDATE,NOT_REVIEWED,iou=0.83
INE171A01029_2017,10,NEAR_TEXT_OVERLAP,Shri SHYAM SRINIVASAN,CANDIDATE,NOT_REVIEWED,iou=0.42
INE191H01014_2012,21,EXACT_TEXT_OVERLAP,Certificate on compliance,CANDIDATE,NOT_REVIEWED,iou=0.99
INE191H01014_2013,24,EXACT_TEXT_OVERLAP,Certificate on compliance,CANDIDATE,NOT_REVIEWED,iou=0.99
INE191H01014_2013,25,EXACT_TEXT_OVERLAP,To the Members of PVR Limited,CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2017,30,EXACT_TEXT_OVERLAP,"Earnings before interest, tax and depreciation amortization (EBITDA)",CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2018,3,EXACT_TEXT_OVERLAP,PVR LIMITED > ANNUAL REPORT 2017-18 >,CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2018,7,EXACT_TEXT_OVERLAP,PVR LIMITED > ANNUAL REPORT 2017-18 >,CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2018,11,EXACT_TEXT_OVERLAP,PVR LIMITED > ANNUAL REPORT 2017-18 >,CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2018,19,EXACT_TEXT_OVERLAP,PVR LIMITED > ANNUAL REPORT 2017-18 >,CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2018,21,EXACT_TEXT_OVERLAP,PVR LIMITED > ANNUAL REPORT 2017-18 >,CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2018,23,EXACT_TEXT_OVERLAP,PVR LIMITED > ANNUAL REPORT 2017-18 >,CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2018,25,EXACT_TEXT_OVERLAP,PVR LIMITED > ANNUAL REPORT 2017-18 >,CANDIDATE,NOT_REVIEWED,iou=1.0
INE191H01014_2024,24,HIDDEN_TEXT_CANDIDATE,•,CANDIDATE,NOT_REVIEWED,font_size=0.10000000149011612
INE191H01014_2024,26,HIDDEN_TEXT_CANDIDATE,•,CANDIDATE,NOT_REVIEWED,font_size=0.10000000149011612
INE192B01031_2012,14,EXACT_TEXT_OVERLAP,Contents,CANDIDATE,NOT_REVIEWED,iou=1.0
INE192B01031_2012,17,EXACT_TEXT_OVERLAP,Mr. B. K. Goenka,CANDIDATE,NOT_REVIEWED,iou=1.0
INE192B01031_2013,7,EXACT_TEXT_OVERLAP,Mr. B. K. Goenka,CANDIDATE,NOT_REVIEWED,iou=1.0
INE192B01031_2013,8,NEAR_TEXT_OVERLAP,360412741.00,CANDIDATE,NOT_REVIEWED,iou=0.47
INE797F01020_2017,12,NEAR_TEXT_OVERLAP,GREAT INDIA,CANDIDATE,NOT_REVIEWED,iou=0.53
INE797F01020_2018,12,NEAR_TEXT_OVERLAP,GREAT INDIA,CANDIDATE,NOT_REVIEWED,iou=0.55
INE797F01020_2018,18,EXACT_TEXT_OVERLAP,Jubilant FoodWorks Limited,CANDIDATE,NOT_REVIEWED,iou=1.0
INE797F01020_2025,19,NEAR_TEXT_OVERLAP,FROZEN  /  CHILLED,CANDIDATE,NOT_REVIEWED,iou=0.4
INE797F01020_2025,21,NEAR_TEXT_OVERLAP,Achieve a 50%,CANDIDATE,NOT_REVIEWED,iou=0.55
INE797F01020_2025,22,NEAR_TEXT_OVERLAP,FROZEN  /  CHILLED,CANDIDATE,NOT_REVIEWED,iou=0.4
